,GDP in 2021($ billion),Financial commitments($ billion),Humanitarian commitments($ billion),Military commitments($ billion),Total bilateral commitments($ billion),Share in EU commitments($ billion),Specific weapons and equipment($ billion),Financial commitments with military purpose($ billion),Total bilateral commitments of short term($ billion)
GDP in 2021($ billion),1.0,0.7858540850492072,0.7963292022709189,0.7741524587630664,0.9630057023783709,-0.0389248636185905,0.03770088597142452,-0.08903813188508765,-0.0037603505625351348
Financial commitments($ billion),0.7858540850492072,1.0,0.6823934821608082,0.2554010056748855,0.9056848123217082,-0.11400642478869778,0.02159848180238189,-0.06000472173067861,-0.007273902312860208
Humanitarian commitments($ billion),0.7963292022709189,0.6823934821608082,1.0,0.5913155992555452,0.8136753400850887,-0.0485528268055313,0.023840896846312656,-0.12899184921976126,-0.0015086139965435346
Military commitments($ billion),0.7741524587630664,0.2554010056748855,0.5913155992555452,1.0,0.6406485131603596,0.005859516415132209,0.1469805334515779,-0.0900585006250728,0.11034912135819443
Total bilateral commitments($ billion),0.9630057023783709,0.9056848123217082,0.8136753400850887,0.6406485131603596,1.0,-0.08742746569144054,0.07948894531889772,-0.08911663671382716,0.040804788633194894
Share in EU commitments($ billion),-0.0389248636185905,-0.11400642478869778,-0.0485528268055313,0.005859516415132209,-0.08742746569144054,1.0,0.1711739294539256,0.06823144117090697,0.07711065806700085
Specific weapons and equipment($ billion),0.03770088597142452,0.02159848180238189,0.023840896846312656,0.1469805334515779,0.07948894531889772,0.1711739294539256,1.0,-0.04283195466336957,0.8470562844583702
Financial commitments with military purpose($ billion),-0.08903813188508765,-0.06000472173067861,-0.12899184921976126,-0.0900585006250728,-0.08911663671382716,0.06823144117090697,-0.04283195466336957,1.0,-0.023658307369902726
Total bilateral commitments of short term($ billion),-0.0037603505625351348,-0.007273902312860208,-0.0015086139965435346,0.11034912135819443,0.040804788633194894,0.07711065806700085,0.8470562844583702,-0.023658307369902726,1.0
