Country,Financial allocations($ billion),Humanitarian allocations($ billion),Military allocations($ billion),Total bilateral allocations($ billion),Share in EU allocations($ billion),EU_member_0,EU_member_1
Australia,0.0245660302378931,0.021293472445948803,7.77295458485006e-05,0.011155735295949445,0.02473721976756831,True,False
Austria,0.006450750528350283,0.01636061607548828,0.020005351599063963,0.016254019221459737,0.0,False,True
Belgium,0.0,0.00031903286155054127,0.005683141163979892,0.003664540862445693,0.021233483921009197,False,True
Bulgaria,0.12461990922263903,0.12177547732121764,0.04482109899895995,0.08574978262214591,0.00924479712613572,False,True
Canada,0.0,0.026589283750291945,0.00441077309759057,0.004040553042435302,0.08544049974399802,True,False
Croatia,3.612651505572515e-05,0.0009847882870478498,0.0,5.963915929793804e-05,0.11904259363667086,False,True
Cyprus,0.0,0.01753748434290948,0.02987902355260877,0.01998663855441428,0.011735404677013344,False,True
Czech Republic,0.004428923470617586,0.08006942405078926,0.11086449726989078,0.07666839443539597,0.0,False,True
Denmark,0.0,0.016097351423514043,0.01136965678627145,0.008033414240077164,0.09785132334338535,False,True
Estonia,0.9999999999999999,0.7505728061116362,0.0,0.44680167167032736,1.0,False,True
Finland,0.028879536135546682,0.11879949718135374,0.06247391209481712,0.05743924498369581,0.06986364984711807,False,True
France,0.05083000668340528,1.0,0.23297420913503206,0.21602821794147004,0.05483557763792303,False,True
Germany,0.0,0.0,0.0031035835716762003,0.0019933054294997855,0.0,False,True
Greece,0.0,0.01774297732235893,0.0,0.0008058911734115073,0.10046857195319303,False,True
Hungary,0.0003438190515183426,0.0036650267795958792,0.00038858511007106944,0.0005579367067117269,0.7006627548867845,False,True
Iceland,0.001445060602229006,0.018463972133904626,8.937619171433524e-05,0.0014924332505614234,0.0,True,False
Ireland,0.01481187117284731,0.10598411189234253,0.023214595250476682,0.02583663273791935,0.012030900422597152,False,True
Italy,0.17468286127677518,0.33522355676085513,0.0015048535274744322,0.08828589736130549,0.018911731232544346,False,True
Japan,0.001481187117284731,0.0025013319168134362,0.00874358144825793,0.0063405591526519796,0.01637891005394304,True,False
Latvia,0.0014992503748125937,0.022479041177867334,0.015052336930143871,0.011307264308206768,0.004939001298272537,False,True
Lithuania,4.696446957244269e-05,0.005953045195204253,0.0037228187077483097,0.0026807867232121843,0.24678120653603353,False,True
Luxembourg,0.0,0.0006795039180630164,0.0,3.0863264936682936e-05,0.0,False,True
Malta,0.025852153056505657,0.1858925536049583,0.08929537918183394,0.07646353528699269,0.0,False,True
Netherlands,6.151636741032674e-05,0.0085149326145394,0.00045380330213208527,0.0007035985482873977,0.20604499989131236,False,True
New Zealand,0.0278779929088783,0.11475043605957805,0.019507734009360372,0.029246560410953356,0.08480729444934769,True,False
Norway,0.034178328496688476,0.12438102332028116,0.06964378575143006,0.06448454450678855,0.0,True,False
Poland,0.0,0.0005619898934470533,0.0016944929797191885,0.00111382962830792,0.0866224830778513,False,True
Portugal,0.010452883766356913,0.08946493056373969,7.756976945744496e-05,0.00842735721664302,0.037021402308025586,False,True
South Korea,0.0,0.04002979605001485,9.629485179407176e-05,0.0018800112052873579,0.01929165440933454,True,False
Romania,0.00018063257527862575,0.0036251670891622482,0.015604850927370427,0.01026156580921365,0.46603908983227826,False,True
Slovakia,0.0,0.004733317098308046,0.0015022530117871382,0.0011798246108541482,0.17294947023435975,False,True
Slovenia,0.01877494987446036,0.027778484390727266,0.007553594210435083,0.013861690757482895,0.0,False,True
Spain,0.012395453687475102,0.05313998513650478,0.06366411871641532,0.048418239316560266,0.0,False,True
Sweden,0.003721959570288962,0.22705591413852075,0.0,0.011849037015911893,0.0,False,True
Switzerland,0.0,0.001535512952525836,0.001453761483792685,0.0010034352844606274,0.0,True,False
Turkey,0.118385250553449,0.18046121916930877,0.12224400851534059,0.13556778141034184,0.0,True,False
United Kingdom,0.7755365375039,0.8293357676536681,1.0,1.0,0.0,True,False
United States,0.0,0.0006997643545814698,0.0,3.1783499836555714e-05,0.0,True,False
China,0.0,0.008937301453918791,0.0,0.00040593482283014115,0.0,True,False
Taiwan,0.0,0.0006646784760763101,0.0,3.0189889063967654e-05,0.0,True,False
India,0.0,0.0,0.0,0.0,0.0,True,False
